MethodName,MethodLabel,AUC,Pd_Pfa1e2,Pd_Pfa1e3,AchPfa1e2,AchPfa1e3,Thr1e2,Thr1e3,NumCalH0,Seed,GroupLabel
full,Proposed detector,0.804432,0.398,0.342,0.00945,0.0011,0.0467769743431608,0.055700617073333,20000,101,Representative SNR
uniform_weight,Without discriminative weighting,0.793852,0.354,0.204,0.00945,0.00095,0.0269981853078699,0.0320606370782975,20000,101,Representative SNR
global_only,Without top-local emphasis,0.79384,0.3,0.158,0.0099,0.00095,0.00771648212755297,0.00985987096141208,20000,101,Representative SNR
double_ablation,Double ablation,0.79384,0.3,0.158,0.0099,0.00095,0.00771648212755297,0.00985987096141208,20000,101,Representative SNR
full,Proposed detector,0.802184,0.428,0.402,0.00895,0.001,0.0326511664921854,0.0485295903947478,20000,102,Representative SNR
uniform_weight,Without discriminative weighting,0.7963,0.418,0.392,0.00945,0.00105,0.0158103881318879,0.0208510450276988,20000,102,Representative SNR
global_only,Without top-local emphasis,0.776016,0.414,0.384,0.0104,0.00115,0.00387686610312168,0.00591740830620532,20000,102,Representative SNR
double_ablation,Double ablation,0.776016,0.414,0.384,0.0104,0.00115,0.00387686610312168,0.00591740830620532,20000,102,Representative SNR
full,Proposed detector,0.848124,0.434,0.354,0.00895,0.001,0.034681874521888,0.0498493409186364,20000,103,Representative SNR
uniform_weight,Without discriminative weighting,0.832644,0.472,0.422,0.0101,0.00105,0.0130517629155393,0.0171615338950244,20000,103,Representative SNR
global_only,Without top-local emphasis,0.819836,0.438,0.342,0.0106,0.0011,0.00375403120804898,0.00538673246369789,20000,103,Representative SNR
double_ablation,Double ablation,0.819836,0.438,0.342,0.0106,0.0011,0.00375403120804898,0.00538673246369789,20000,103,Representative SNR
full,Proposed detector,0.826264,0.444,0.412,0.00875,0.0016,0.0355181616710161,0.0470170303195883,20000,104,Representative SNR
uniform_weight,Without discriminative weighting,0.819796,0.438,0.404,0.008,0.0015,0.0166892068402688,0.0209139866840282,20000,104,Representative SNR
global_only,Without top-local emphasis,0.785792,0.432,0.394,0.00865,0.0014,0.00422605842533095,0.00584044782451436,20000,104,Representative SNR
double_ablation,Double ablation,0.785792,0.432,0.394,0.00865,0.0014,0.00422605842533095,0.00584044782451436,20000,104,Representative SNR
full,Proposed detector,0.838836,0.454,0.416,0.01025,0.00085,0.0285227483168127,0.0417259721991083,20000,105,Representative SNR
uniform_weight,Without discriminative weighting,0.825056,0.444,0.418,0.01035,0.0008,0.0123506837912566,0.0181236239344715,20000,105,Representative SNR
global_only,Without top-local emphasis,0.807392,0.44,0.414,0.01,0.00165,0.00356833078297959,0.00504040628774483,20000,105,Representative SNR
double_ablation,Double ablation,0.807392,0.44,0.414,0.01,0.00165,0.00356833078297959,0.00504040628774483,20000,105,Representative SNR
