MethodName,MethodLabel,AUC,Pd_Pfa1e2,Pd_Pfa1e3,AchPfa1e2,AchPfa1e3,Thr1e2,Thr1e3,NumCalH0,Seed,GroupLabel
full,Proposed detector,0.804432,0.398,0.342,0.00945,0.0011,0.0467769743431608,0.055700617073333,20000,101,Representative SNR
uniform_weight,Uniform-weight variant,0.793852,0.354,0.204,0.00945,0.00095,0.0269981853078699,0.0320606370782975,20000,101,Representative SNR
global_only,Global-pooling variant,0.79384,0.3,0.158,0.0099,0.00095,0.00771648212755297,0.00985987096141208,20000,101,Representative SNR
fro_structure_field,Frobenius structure-field baseline,0.79954,0.384,0.294,0.00945,0.00095,0.0492818247577513,0.058978625101807,20000,101,Representative SNR
euclidean_structure_field,Euclidean structure-field baseline,0.79954,0.384,0.294,0.00945,0.00095,0.0492818247577513,0.058978625101807,20000,101,Representative SNR
global_energy,Global energy baseline,0.502056,0.016,0.002,0.00845,0.00095,2.35276126213981,2.35347917612381,20000,101,Representative SNR
template_correlation,Template-correlation baseline,0.773436,0.332,0.228,0.0087,0.0012,0.0018385549375397,0.00230147031164329,20000,101,Representative SNR
pooled_covariance,Pooled-covariance baseline,0.694476,0.024,0.002,0.0091,0.00105,0.000831226549891968,0.00107709583586619,20000,101,Representative SNR
full,Proposed detector,0.802184,0.428,0.402,0.00895,0.001,0.0326511664921854,0.0485295903947478,20000,102,Representative SNR
uniform_weight,Uniform-weight variant,0.7963,0.418,0.392,0.00945,0.00105,0.0158103881318879,0.0208510450276988,20000,102,Representative SNR
global_only,Global-pooling variant,0.776016,0.414,0.384,0.0104,0.00115,0.00387686610312168,0.00591740830620532,20000,102,Representative SNR
fro_structure_field,Frobenius structure-field baseline,0.7996,0.426,0.404,0.009,0.00105,0.0328115107375436,0.0476252455026185,20000,102,Representative SNR
euclidean_structure_field,Euclidean structure-field baseline,0.7996,0.426,0.404,0.009,0.00105,0.0328115107375436,0.0476252455026185,20000,102,Representative SNR
global_energy,Global energy baseline,0.503656,0.004,0,0.00925,0.00115,2.35275792515619,2.35348114452086,20000,102,Representative SNR
template_correlation,Template-correlation baseline,0.734964,0.426,0.406,0.01085,0.00135,0.000860972208392541,0.00141383615702417,20000,102,Representative SNR
pooled_covariance,Pooled-covariance baseline,0.713912,0.054,0.012,0.00915,0.00045,0.000855581204306799,0.00120108637875012,20000,102,Representative SNR
full,Proposed detector,0.848124,0.434,0.354,0.00895,0.001,0.034681874521888,0.0498493409186364,20000,103,Representative SNR
uniform_weight,Uniform-weight variant,0.832644,0.472,0.422,0.0101,0.00105,0.0130517629155393,0.0171615338950244,20000,103,Representative SNR
global_only,Global-pooling variant,0.819836,0.438,0.342,0.0106,0.0011,0.00375403120804898,0.00538673246369789,20000,103,Representative SNR
fro_structure_field,Frobenius structure-field baseline,0.842544,0.426,0.302,0.00965,0.00085,0.0348748443490831,0.0516420351325773,20000,103,Representative SNR
euclidean_structure_field,Euclidean structure-field baseline,0.842544,0.426,0.302,0.00965,0.00085,0.0348748443490831,0.0516420351325773,20000,103,Representative SNR
global_energy,Global energy baseline,0.521308,0.008,0.002,0.0127,0.00195,2.35269470558315,2.35342170709853,20000,103,Representative SNR
template_correlation,Template-correlation baseline,0.77658,0.484,0.412,0.0114,0.00075,0.000804405005573661,0.00122401134354388,20000,103,Representative SNR
pooled_covariance,Pooled-covariance baseline,0.703044,0.038,0.01,0.0112,0.00095,0.000533055163483306,0.000754607382752383,20000,103,Representative SNR
full,Proposed detector,0.826264,0.444,0.412,0.00875,0.0016,0.0355181616710161,0.0470170303195883,20000,104,Representative SNR
uniform_weight,Uniform-weight variant,0.819796,0.438,0.404,0.008,0.0015,0.0166892068402688,0.0209139866840282,20000,104,Representative SNR
global_only,Global-pooling variant,0.785792,0.432,0.394,0.00865,0.0014,0.00422605842533095,0.00584044782451436,20000,104,Representative SNR
fro_structure_field,Frobenius structure-field baseline,0.825296,0.444,0.412,0.0083,0.0013,0.0362202261469213,0.0477685019872659,20000,104,Representative SNR
euclidean_structure_field,Euclidean structure-field baseline,0.825296,0.444,0.412,0.0083,0.0013,0.0362202261469213,0.0477685019872659,20000,104,Representative SNR
global_energy,Global energy baseline,0.510896,0.008,0.004,0.00965,0.0007,2.35268707392708,2.35346980350424,20000,104,Representative SNR
template_correlation,Template-correlation baseline,0.742104,0.45,0.394,0.00985,0.00115,0.00105153016743142,0.00170617342247437,20000,104,Representative SNR
