MethodName,MethodLabel,AUC,Pd_Pfa1e2,Pd_Pfa1e3,AchPfa1e2,AchPfa1e3,Thr1e2,Thr1e3,NumCalH0,Seed,GroupLabel,PerturbationType
full,Proposed detector,0.834652,0.538,0.52,0.00995,0.00145,0.0723234683155728,0.0858012905979282,20000,101,Few discriminative local structures,LocalStructureCount
uniform_weight,Uniform-weight variant,0.838572,0.528,0.518,0.00955,0.0011,0.0379181837431714,0.0452182152164202,20000,101,Few discriminative local structures,LocalStructureCount
global_only,Global-pooling variant,0.814744,0.55,0.534,0.0117,0.0011,0.00556746046584954,0.00798232830722338,20000,101,Few discriminative local structures,LocalStructureCount
full,Proposed detector,0.804432,0.398,0.342,0.00945,0.0011,0.0467769743431608,0.055700617073333,20000,101,Main local-structure count,LocalStructureCount
uniform_weight,Uniform-weight variant,0.793852,0.354,0.204,0.00945,0.00095,0.0269981853078699,0.0320606370782975,20000,101,Main local-structure count,LocalStructureCount
global_only,Global-pooling variant,0.79384,0.3,0.158,0.0099,0.00095,0.00771648212755297,0.00985987096141208,20000,101,Main local-structure count,LocalStructureCount
full,Proposed detector,0.69612,0.366,0.3,0.0091,0.00125,0.0202962102982612,0.0308134460397489,20000,101,Many discriminative local structures,LocalStructureCount
uniform_weight,Uniform-weight variant,0.697296,0.35,0.296,0.00875,0.0014,0.0109041431166566,0.0156875644266734,20000,101,Many discriminative local structures,LocalStructureCount
global_only,Global-pooling variant,0.685004,0.276,0.222,0.0087,0.00085,0.00336634352704796,0.00459242047025437,20000,101,Many discriminative local structures,LocalStructureCount
full,Proposed detector,0.837908,0.54,0.522,0.0109,0.0015,0.060935426486705,0.0704890396812078,20000,102,Few discriminative local structures,LocalStructureCount
uniform_weight,Uniform-weight variant,0.841408,0.528,0.51,0.01115,0.0015,0.0369156677807808,0.0427602296531122,20000,102,Few discriminative local structures,LocalStructureCount
global_only,Global-pooling variant,0.821076,0.53,0.524,0.01035,0.00125,0.00783598349254697,0.00995214058055002,20000,102,Few discriminative local structures,LocalStructureCount
