MethodName,MethodLabel,AUC,Pd_Pfa1e2,Pd_Pfa1e3,AchPfa1e2,AchPfa1e3,Thr1e2,Thr1e3,NumCalH0,Seed,SNR_dB,GroupLabel
full,Proposed detector,0.79918,0.356,0.026,0.0097,0.00125,0.0500523693238825,0.0707735322842267,20000,101,-20,SNR=-20 dB
full,Proposed detector,0.795068,0.246,0.056,0.0124,0.00195,0.0420643160087255,0.051607418871576,20000,102,-20,SNR=-20 dB
full,Proposed detector,0.81078,0.38,0.012,0.00925,0.00115,0.0489575544452167,0.0761829115318771,20000,103,-20,SNR=-20 dB
full,Proposed detector,0.817872,0.44,0.028,0.00995,0.00105,0.0468057650111236,0.0749448199466636,20000,104,-20,SNR=-20 dB
full,Proposed detector,0.800376,0.39,0.02,0.0098,0.001,0.051133686361196,0.0728714341916123,20000,105,-20,SNR=-20 dB
global_only,Global-pooling variant,0.816128,0.298,0.102,0.00945,0.0016,0.00581923641897815,0.00877051597975931,20000,101,-20,SNR=-20 dB
global_only,Global-pooling variant,0.791644,0.202,0.066,0.0125,0.00165,0.00681817362138562,0.0093913256462753,20000,102,-20,SNR=-20 dB
global_only,Global-pooling variant,0.809964,0.264,0.078,0.0092,0.00175,0.00627791600677031,0.00949869464971106,20000,103,-20,SNR=-20 dB
global_only,Global-pooling variant,0.806932,0.312,0.136,0.0097,0.0017,0.00601164181468024,0.00860872414561834,20000,104,-20,SNR=-20 dB
global_only,Global-pooling variant,0.795616,0.314,0.068,0.00935,0.00095,0.00635665213956958,0.0100793165718651,20000,105,-20,SNR=-20 dB
uniform_weight,Uniform-weight variant,0.795768,0.374,0.032,0.00955,0.00105,0.0226282928579446,0.0336079072014787,20000,101,-20,SNR=-20 dB
uniform_weight,Uniform-weight variant,0.785552,0.248,0.066,0.01205,0.0018,0.0233284757819811,0.0289148630397266,20000,102,-20,SNR=-20 dB
uniform_weight,Uniform-weight variant,0.807344,0.346,0.01,0.01,0.0012,0.0246299897330896,0.0379741196181979,20000,103,-20,SNR=-20 dB
uniform_weight,Uniform-weight variant,0.811468,0.424,0.09,0.0099,0.00125,0.0218131697826871,0.0309684702875406,20000,104,-20,SNR=-20 dB
uniform_weight,Uniform-weight variant,0.790016,0.396,0.042,0.0093,0.00125,0.0226514354994262,0.03352386742249,20000,105,-20,SNR=-20 dB
full,Proposed detector,0.781976,0.422,0.318,0.00895,0.00125,0.0404755793637291,0.0639930334375579,20000,101,-18,SNR=-18 dB
full,Proposed detector,0.805956,0.438,0.264,0.00995,0.00105,0.0495181459457085,0.0883815562013723,20000,102,-18,SNR=-18 dB
full,Proposed detector,0.771972,0.258,0.032,0.01215,0.001,0.0607260077347018,0.0737007257782576,20000,103,-18,SNR=-18 dB
full,Proposed detector,0.80916,0.428,0.344,0.0104,0.0015,0.049502602541981,0.0802251660839231,20000,104,-18,SNR=-18 dB
full,Proposed detector,0.822076,0.432,0.324,0.00785,0.00075,0.0379830415582833,0.0589777698529742,20000,105,-18,SNR=-18 dB
global_only,Global-pooling variant,0.79752,0.306,0.128,0.0099,0.0012,0.00574143870492943,0.0085268115034056,20000,101,-18,SNR=-18 dB
global_only,Global-pooling variant,0.78744,0.406,0.25,0.01015,0.0014,0.00554258770669605,0.00896190959442897,20000,102,-18,SNR=-18 dB
global_only,Global-pooling variant,0.777812,0.224,0.114,0.011,0.00125,0.0088506503077898,0.0111915391936125,20000,103,-18,SNR=-18 dB
global_only,Global-pooling variant,0.792524,0.382,0.264,0.01015,0.00135,0.00587182376680121,0.00884301713793009,20000,104,-18,SNR=-18 dB
global_only,Global-pooling variant,0.818004,0.398,0.202,0.01035,0.0006,0.00433703026705397,0.00691117851959915,20000,105,-18,SNR=-18 dB
uniform_weight,Uniform-weight variant,0.784308,0.404,0.168,0.0109,0.0011,0.0210743753836929,0.0279421880688496,20000,101,-18,SNR=-18 dB
uniform_weight,Uniform-weight variant,0.79874,0.414,0.18,0.00965,0.00085,0.0219416179677343,0.0358868043301652,20000,102,-18,SNR=-18 dB
uniform_weight,Uniform-weight variant,0.778104,0.18,0.058,0.0126,0.00075,0.0321698240593793,0.0388348726095383,20000,103,-18,SNR=-18 dB
uniform_weight,Uniform-weight variant,0.808292,0.42,0.336,0.01035,0.00135,0.0220364799437683,0.0329700024334514,20000,104,-18,SNR=-18 dB
uniform_weight,Uniform-weight variant,0.811956,0.444,0.348,0.00995,0.00085,0.0168190791767905,0.0234237366751208,20000,105,-18,SNR=-18 dB
full,Proposed detector,0.815048,0.428,0.364,0.01335,0.001,0.032554001306227,0.0439515515915122,20000,101,-16,SNR=-16 dB
full,Proposed detector,0.801952,0.41,0.334,0.0112,0.001,0.035188734397916,0.0573985669637078,20000,102,-16,SNR=-16 dB
full,Proposed detector,0.809636,0.424,0.364,0.00775,0.00085,0.0403973514583376,0.0563256845432268,20000,103,-16,SNR=-16 dB
full,Proposed detector,0.767888,0.418,0.354,0.0114,0.00125,0.0481605274428091,0.0611118889924286,20000,104,-16,SNR=-16 dB
full,Proposed detector,0.795212,0.388,0.332,0.0091,0.00105,0.0465892583989722,0.055131969255436,20000,105,-16,SNR=-16 dB
global_only,Global-pooling variant,0.823216,0.31,0.162,0.013,0.00145,0.00533095538521605,0.00738788862644114,20000,101,-16,SNR=-16 dB
global_only,Global-pooling variant,0.793636,0.338,0.192,0.0117,0.0011,0.00569619057930898,0.00809732066557513,20000,102,-16,SNR=-16 dB
global_only,Global-pooling variant,0.786852,0.376,0.268,0.0091,0.0007,0.00547767060576512,0.00775341198988005,20000,103,-16,SNR=-16 dB
global_only,Global-pooling variant,0.760596,0.332,0.178,0.01045,0.00055,0.00715156479151681,0.00963581404960283,20000,104,-16,SNR=-16 dB
global_only,Global-pooling variant,0.791496,0.334,0.182,0.00975,0.00115,0.00597815392208882,0.00821877623785319,20000,105,-16,SNR=-16 dB
uniform_weight,Uniform-weight variant,0.810428,0.432,0.308,0.0121,0.00085,0.0180140919064128,0.0238937269496542,20000,101,-16,SNR=-16 dB
uniform_weight,Uniform-weight variant,0.785836,0.378,0.318,0.00855,0.001,0.0209794641586253,0.0262751091388258,20000,102,-16,SNR=-16 dB
uniform_weight,Uniform-weight variant,0.792056,0.398,0.374,0.0093,0.00105,0.0209664232938656,0.0264915694548919,20000,103,-16,SNR=-16 dB
uniform_weight,Uniform-weight variant,0.763128,0.378,0.278,0.00955,0.0008,0.0263101460792217,0.0317135506908545,20000,104,-16,SNR=-16 dB
uniform_weight,Uniform-weight variant,0.79454,0.396,0.3,0.0083,0.0013,0.0216423802852261,0.0263548621976091,20000,105,-16,SNR=-16 dB
