SNR_dB,MethodName,MethodLabel,GroupCount,mean_AUC,mean_Pd_Pfa1e2,mean_Pd_Pfa1e3,mean_AchPfa1e2,mean_AchPfa1e3
-20,full,Proposed detector,5,0.8046552,0.3624,0.0284,0.01022,0.00128
-20,global_only,Global-pooling variant,5,0.8040568,0.278,0.09,0.01004,0.00153
-20,uniform_weight,Uniform-weight variant,5,0.7980296,0.3576,0.048,0.01016,0.00131
-18,full,Proposed detector,5,0.798228,0.3956,0.2564,0.00986,0.00111
-18,global_only,Global-pooling variant,5,0.79466,0.3432,0.1916,0.01031,0.00116
-18,uniform_weight,Uniform-weight variant,5,0.79628,0.3724,0.218,0.01069,0.00098
-16,full,Proposed detector,5,0.7979472,0.4136,0.3496,0.01056,0.00103
-16,global_only,Global-pooling variant,5,0.7911592,0.338,0.1964,0.0108,0.00099
-16,uniform_weight,Uniform-weight variant,5,0.7891976,0.3964,0.3156,0.00956,0.001
-14,full,Proposed detector,5,0.82204,0.4288,0.382,0.00998,0.00128
-14,global_only,Global-pooling variant,5,0.8030936,0.4064,0.2992,0.00982,0.00102
-14,uniform_weight,Uniform-weight variant,5,0.8099312,0.424,0.3828,0.00981,0.00117
-12,full,Proposed detector,5,0.823968,0.4316,0.3852,0.00927,0.00111
-12,global_only,Global-pooling variant,5,0.7965752,0.4048,0.3384,0.00991,0.00125
-12,uniform_weight,Uniform-weight variant,5,0.8135296,0.4252,0.368,0.00947,0.00107
-10,full,Proposed detector,5,0.8249896,0.4652,0.4288,0.00996,0.00115
-10,global_only,Global-pooling variant,5,0.7935512,0.4424,0.3828,0.01015,0.00105
-10,uniform_weight,Uniform-weight variant,5,0.8140296,0.4484,0.4184,0.00989,0.001
-8,full,Proposed detector,5,0.8335224,0.474,0.4452,0.01094,0.00131
-8,global_only,Global-pooling variant,5,0.797304,0.448,0.4004,0.01,0.00109
-8,uniform_weight,Uniform-weight variant,5,0.8151944,0.4584,0.4296,0.01067,0.00121
-6,full,Proposed detector,5,0.8217128,0.4616,0.4428,0.01043,0.00098
-6,global_only,Global-pooling variant,5,0.7814288,0.4472,0.422,0.00994,0.00115
-6,uniform_weight,Uniform-weight variant,5,0.8071648,0.444,0.4284,0.01045,0.00097
-4,full,Proposed detector,5,0.8252008,0.4796,0.4488,0.0098,0.00103
-4,global_only,Global-pooling variant,5,0.7940544,0.4468,0.4124,0.00967,0.0008
-4,uniform_weight,Uniform-weight variant,5,0.8162256,0.4544,0.428,0.0101,0.00092
-2,full,Proposed detector,5,0.8475608,0.4968,0.4604,0.00943,0.00082
-2,global_only,Global-pooling variant,5,0.8194552,0.4696,0.43,0.01023,0.00101
-2,uniform_weight,Uniform-weight variant,5,0.8286328,0.4632,0.4392,0.0094,0.00089
0,full,Proposed detector,5,0.8452104,0.5232,0.4812,0.01029,0.00103
0,global_only,Global-pooling variant,5,0.808276,0.4764,0.4528,0.00984,0.00108
0,uniform_weight,Uniform-weight variant,5,0.8274856,0.4772,0.4584,0.01039,0.0011
