MethodName,MethodLabel,AUC,Pd_Pfa1e2,Pd_Pfa1e3,AchPfa1e2,AchPfa1e3,Thr1e2,Thr1e3,NumCalH0,Seed,NoiseName,GroupLabel
full,Proposed detector,0.804096,0.4,0.34,0.00955,0.001,0.0467121685408493,0.0558832273386715,20000,101,Gaussian background perturbation,Gaussian background perturbation
uniform_weight,Uniform-weight variant,0.793568,0.352,0.204,0.00965,0.001,0.0270000051598602,0.0319869608663361,20000,101,Gaussian background perturbation,Gaussian background perturbation
global_only,Global-pooling variant,0.793592,0.304,0.162,0.0102,0.00095,0.00769650351352676,0.009859176067842,20000,101,Gaussian background perturbation,Gaussian background perturbation
full,Proposed detector,0.804332,0.396,0.342,0.0092,0.0011,0.0467811964795728,0.0557480034469471,20000,101,Laplacian background perturbation,Laplacian background perturbation
uniform_weight,Uniform-weight variant,0.79362,0.356,0.202,0.0096,0.00095,0.0269760726064892,0.0320081917258962,20000,101,Laplacian background perturbation,Laplacian background perturbation
global_only,Global-pooling variant,0.793492,0.298,0.162,0.00965,0.0009,0.00772411346019903,0.00983424100331976,20000,101,Laplacian background perturbation,Laplacian background perturbation
full,Proposed detector,0.804444,0.398,0.344,0.00935,0.00115,0.0467788869237644,0.0555659027448924,20000,101,Impulsive background perturbation,Impulsive background perturbation
uniform_weight,Uniform-weight variant,0.793624,0.358,0.204,0.00945,0.0009,0.0269964242578271,0.0319843341392144,20000,101,Impulsive background perturbation,Impulsive background perturbation
global_only,Global-pooling variant,0.793664,0.304,0.154,0.00985,0.0008,0.00769843104097142,0.00993854251802996,20000,101,Impulsive background perturbation,Impulsive background perturbation
full,Proposed detector,0.804268,0.4,0.34,0.00935,0.0011,0.0467679839914304,0.0556176406601572,20000,101,Heavy-tailed background perturbation,Heavy-tailed background perturbation
uniform_weight,Uniform-weight variant,0.793568,0.352,0.206,0.00925,0.00095,0.0270264131885999,0.0320045275559864,20000,101,Heavy-tailed background perturbation,Heavy-tailed background perturbation
global_only,Global-pooling variant,0.79374,0.298,0.158,0.00965,0.0009,0.00771834528016679,0.0099049205400366,20000,101,Heavy-tailed background perturbation,Heavy-tailed background perturbation
full,Proposed detector,0.8022,0.428,0.402,0.00895,0.001,0.032651137024815,0.0485573423522857,20000,102,Gaussian background perturbation,Gaussian background perturbation
uniform_weight,Uniform-weight variant,0.796176,0.418,0.394,0.00955,0.00095,0.0158280841739873,0.0209872389896779,20000,102,Gaussian background perturbation,Gaussian background perturbation
global_only,Global-pooling variant,0.77598,0.414,0.384,0.01095,0.0011,0.00384622400386055,0.00592254305967598,20000,102,Gaussian background perturbation,Gaussian background perturbation
full,Proposed detector,0.801984,0.428,0.402,0.00895,0.00095,0.0326828165355442,0.0485740359909801,20000,102,Laplacian background perturbation,Laplacian background perturbation
uniform_weight,Uniform-weight variant,0.795852,0.418,0.394,0.00935,0.00105,0.0158376054781059,0.0208420379251179,20000,102,Laplacian background perturbation,Laplacian background perturbation
global_only,Global-pooling variant,0.775732,0.416,0.382,0.01075,0.00115,0.00385263320425517,0.00589972383379687,20000,102,Laplacian background perturbation,Laplacian background perturbation
full,Proposed detector,0.801828,0.428,0.4,0.0088,0.00095,0.0326290669696495,0.0490339257538256,20000,102,Impulsive background perturbation,Impulsive background perturbation
uniform_weight,Uniform-weight variant,0.796248,0.418,0.394,0.0094,0.00095,0.0158116479439098,0.0210149561562394,20000,102,Impulsive background perturbation,Impulsive background perturbation
global_only,Global-pooling variant,0.775772,0.414,0.386,0.0104,0.00115,0.00387092657763415,0.00591462720756425,20000,102,Impulsive background perturbation,Impulsive background perturbation
