MethodName,MethodLabel,AUC,Pd_Pfa1e2,Pd_Pfa1e3,AchPfa1e2,AchPfa1e3,Thr1e2,Thr1e3,NumCalH0,Seed,ParamName,ParamValue,GroupLabel
full,Proposed detector,0.813708,0.44,0.376,0.0112,0.00105,0.0305405123690842,0.0375151105789002,20000,101,blockSize,4,blockSize=4
uniform_weight,Uniform-weight variant,0.810228,0.428,0.31,0.0108,0.00105,0.0245035284586519,0.0299176855899581,20000,101,blockSize,4,blockSize=4
global_only,Global-pooling variant,0.797016,0.36,0.244,0.01055,0.00105,0.00600236344401295,0.00775204407619443,20000,101,blockSize,4,blockSize=4
full,Proposed detector,0.807756,0.428,0.388,0.01115,0.00115,0.0416725960688643,0.0496237070520451,20000,101,blockSize,6,blockSize=6
uniform_weight,Uniform-weight variant,0.802888,0.434,0.372,0.0111,0.0012,0.0289436945558012,0.0346633461128282,20000,101,blockSize,6,blockSize=6
global_only,Global-pooling variant,0.790472,0.38,0.278,0.0097,0.0009,0.00776980924447997,0.0100994436252932,20000,101,blockSize,6,blockSize=6
full,Proposed detector,0.804432,0.398,0.342,0.00945,0.0011,0.0467769743431608,0.055700617073333,20000,101,blockSize,8,blockSize=8
uniform_weight,Uniform-weight variant,0.793852,0.354,0.204,0.00945,0.00095,0.0269981853078699,0.0320606370782975,20000,101,blockSize,8,blockSize=8
global_only,Global-pooling variant,0.79384,0.3,0.158,0.0099,0.00095,0.00771648212755297,0.00985987096141208,20000,101,blockSize,8,blockSize=8
full,Proposed detector,0.798164,0.4,0.364,0.0097,0.0011,0.050860776989946,0.0595252606133997,20000,101,blockSize,10,blockSize=10
uniform_weight,Uniform-weight variant,0.785596,0.216,0.072,0.00935,0.0014,0.0269439183513036,0.031111195604925,20000,101,blockSize,10,blockSize=10
global_only,Global-pooling variant,0.785068,0.238,0.1,0.01025,0.0009,0.00869159269577704,0.0112631140309358,20000,101,blockSize,10,blockSize=10
full,Proposed detector,0.821324,0.446,0.406,0.00845,0.00095,0.0224147400861064,0.0345489527926773,20000,102,blockSize,4,blockSize=4
uniform_weight,Uniform-weight variant,0.825108,0.446,0.398,0.0092,0.0011,0.0169026342493873,0.0240153288526223,20000,102,blockSize,4,blockSize=4
global_only,Global-pooling variant,0.770644,0.432,0.396,0.011,0.0011,0.00305996055486567,0.00490361654025304,20000,102,blockSize,4,blockSize=4
full,Proposed detector,0.800752,0.454,0.408,0.009,0.001,0.0307022872961753,0.052063640626695,20000,102,blockSize,6,blockSize=6
uniform_weight,Uniform-weight variant,0.800408,0.438,0.4,0.00945,0.0011,0.0187756618759314,0.028851666349498,20000,102,blockSize,6,blockSize=6
global_only,Global-pooling variant,0.755472,0.438,0.406,0.01095,0.00115,0.00388004427584547,0.00628379768251095,20000,102,blockSize,6,blockSize=6
full,Proposed detector,0.802184,0.428,0.402,0.00895,0.001,0.0326511664921854,0.0485295903947478,20000,102,blockSize,8,blockSize=8
uniform_weight,Uniform-weight variant,0.7963,0.418,0.392,0.00945,0.00105,0.0158103881318879,0.0208510450276988,20000,102,blockSize,8,blockSize=8
global_only,Global-pooling variant,0.776016,0.414,0.384,0.0104,0.00115,0.00387686610312168,0.00591740830620532,20000,102,blockSize,8,blockSize=8
full,Proposed detector,0.797972,0.426,0.402,0.00875,0.00085,0.0334636807277843,0.0530517894064471,20000,102,blockSize,10,blockSize=10
uniform_weight,Uniform-weight variant,0.794716,0.414,0.39,0.009,0.0009,0.0144662016847149,0.01758777893326,20000,102,blockSize,10,blockSize=10
global_only,Global-pooling variant,0.780268,0.41,0.346,0.01055,0.0012,0.00421577205182896,0.00636500686824471,20000,102,blockSize,10,blockSize=10
full,Proposed detector,0.85864,0.484,0.422,0.00975,0.0009,0.0196208054442825,0.0269660590200766,20000,103,blockSize,4,blockSize=4
uniform_weight,Uniform-weight variant,0.858296,0.498,0.44,0.01035,0.00135,0.0134414198507331,0.0177888586262663,20000,103,blockSize,4,blockSize=4
global_only,Global-pooling variant,0.816472,0.478,0.4,0.01145,0.00135,0.00300307777867748,0.00434519055006046,20000,103,blockSize,4,blockSize=4
full,Proposed detector,0.850724,0.48,0.426,0.0103,0.00105,0.0279584959091837,0.0384194789809264,20000,103,blockSize,6,blockSize=6
uniform_weight,Uniform-weight variant,0.843328,0.488,0.448,0.0093,0.001,0.0156896024898952,0.0218190798279154,20000,103,blockSize,6,blockSize=6
global_only,Global-pooling variant,0.807588,0.486,0.414,0.0113,0.0011,0.0038820532435092,0.00586940945375425,20000,103,blockSize,6,blockSize=6
full,Proposed detector,0.848124,0.434,0.354,0.00895,0.001,0.034681874521888,0.0498493409186364,20000,103,blockSize,8,blockSize=8
uniform_weight,Uniform-weight variant,0.832644,0.472,0.422,0.0101,0.00105,0.0130517629155393,0.0171615338950244,20000,103,blockSize,8,blockSize=8
global_only,Global-pooling variant,0.819836,0.438,0.342,0.0106,0.0011,0.00375403120804898,0.00538673246369789,20000,103,blockSize,8,blockSize=8
full,Proposed detector,0.844624,0.44,0.366,0.0088,0.0008,0.036927570531739,0.0532063200161032,20000,103,blockSize,10,blockSize=10
