MethodName,MethodLabel,AUC,Pd_Pfa1e2,Pd_Pfa1e3,AchPfa1e2,AchPfa1e3,Thr1e2,Thr1e3,NumCalH0,Seed,TrainSize,GroupLabel
full,Proposed detector,0.731136,0.04,0.01,0.0095,0.00115,0.0660852110146348,0.0752338123366885,20000,101,10,Train=10
uniform_weight,Uniform-weight variant,0.745184,0.078,0.022,0.00925,0.00115,0.047294328638059,0.0532809398841075,20000,101,10,Train=10
global_only,Global-pooling variant,0.77036,0.164,0.062,0.0098,0.0009,0.0139658988089093,0.0171828121464234,20000,101,10,Train=10
full,Proposed detector,0.633064,0.002,0,0.00955,0.00125,0.0751866584529289,0.0894316112969566,20000,101,20,Train=20
uniform_weight,Uniform-weight variant,0.701076,0.01,0,0.0094,0.00125,0.0409518946769898,0.0475082682780706,20000,101,20,Train=20
global_only,Global-pooling variant,0.76024,0.084,0.024,0.0092,0.00135,0.0112708160309988,0.013859107417775,20000,101,20,Train=20
full,Proposed detector,0.8042,0.45,0.384,0.00905,0.00065,0.0505787634150744,0.0653310033328868,20000,101,40,Train=40
uniform_weight,Uniform-weight variant,0.804176,0.44,0.392,0.0093,0.00045,0.0257774498376803,0.0324187789182664,20000,101,40,Train=40
global_only,Global-pooling variant,0.778628,0.416,0.354,0.0099,0.0006,0.00746847358576347,0.00970771862456715,20000,101,40,Train=40
full,Proposed detector,0.8126,0.406,0.228,0.0094,0.00075,0.0450113806616964,0.0548252775112501,20000,101,80,Train=80
uniform_weight,Uniform-weight variant,0.808264,0.388,0.256,0.00975,0.0008,0.0241958650859996,0.0289405539388882,20000,101,80,Train=80
global_only,Global-pooling variant,0.809672,0.33,0.186,0.0106,0.001,0.00717835860586388,0.00924931000973069,20000,101,80,Train=80
full,Proposed detector,0.81774,0.458,0.422,0.0102,0.0008,0.0508202111154979,0.065533245505684,20000,101,160,Train=160
uniform_weight,Uniform-weight variant,0.801232,0.446,0.41,0.00905,0.00095,0.0271309028254271,0.0321135756646535,20000,101,160,Train=160
global_only,Global-pooling variant,0.787536,0.416,0.33,0.01,0.0009,0.00741473751570182,0.00968921115074489,20000,101,160,Train=160
full,Proposed detector,0.740164,0.414,0.402,0.0111,0.0012,0.0419432052715647,0.0539042510695109,20000,102,10,Train=10
uniform_weight,Uniform-weight variant,0.740644,0.394,0.314,0.01055,0.0009,0.029658144557296,0.0366075978837944,20000,102,10,Train=10
global_only,Global-pooling variant,0.722492,0.366,0.27,0.0108,0.001,0.0047682937927479,0.00786995796341134,20000,102,10,Train=10
full,Proposed detector,0.771508,0.018,0,0.00915,0.0007,0.0429079738569451,0.0595140917120727,20000,102,20,Train=20
uniform_weight,Uniform-weight variant,0.788452,0.15,0.01,0.0096,0.00085,0.0192568161651155,0.0249869530305532,20000,102,20,Train=20
global_only,Global-pooling variant,0.805832,0.182,0.044,0.0116,0.00075,0.00559698969917284,0.00823343604019573,20000,102,20,Train=20
full,Proposed detector,0.79276,0.38,0.248,0.01005,0.0007,0.0418145587424971,0.0552974811623921,20000,102,40,Train=40
uniform_weight,Uniform-weight variant,0.789156,0.394,0.306,0.0101,0.00045,0.022981664856838,0.0294630880514356,20000,102,40,Train=40
